id;job_title;min_salary;max_salary;start_date;end_date
1;Dynamic Operations Associate;36593;95887;2023-04-02;2023-04-03
2;Internal Quality Strategist;60283;84974;2023-04-03;2023-04-03
3;Regional Communications Producer;13628;63765;2023-04-03;2023-04-02
4;Lead Identity Agent;63563;69442;2023-04-02;2023-04-03
5;Corporate Functionality Producer;4706;79478;2023-04-03;2023-04-02
6;Central Creative Coordinator;37364;108;2023-04-02;2023-04-02
7;District Implementation Director;19721;43568;2023-04-02;2023-04-02
8;Forward Brand Administrator;34575;73927;2023-04-02;2023-04-03
9;Dynamic Web Agent;44752;53984;2023-04-03;2023-04-03
10;Senior Tactics Executive;49758;67462;2023-04-02;2023-04-02
